"a_id","time","queue_time","closing_time"
"3","2024-06-30 15:06:00","0","0"
"6","2024-06-30 15:06:00","0","0"
"15","2024-06-30 15:06:00","0","0"
"16","2024-06-30 15:06:00","0","0"
"18","2024-06-30 15:06:00","0","0"
"28","2024-06-30 15:06:00","0","0"
"31","2024-06-30 15:06:00","0","0"
"32","2024-06-30 15:06:00","0","0"
"33","2024-06-30 15:06:00","0","0"
"36","2024-06-30 15:06:00","0","0"
"39","2024-06-30 15:06:00","0","0"
"42","2024-06-30 15:06:00","0","0"
"45","2024-06-30 15:06:00","0","0"
"47","2024-06-30 15:06:00","0","0"
"55","2024-06-30 15:06:00","0","0"
"56","2024-06-30 15:06:00","0","0"
"57","2024-06-30 15:06:00","0","0"
"61","2024-06-30 15:06:00","0","0"
"64","2024-06-30 15:06:00","0","0"
"69","2024-06-30 15:06:00","0","0"
"71","2024-06-30 15:06:00","0","0"
"72","2024-06-30 15:06:00","0","0"
"73","2024-06-30 15:06:00","0","0"
"74","2024-06-30 15:06:00","0","0"
"75","2024-06-30 15:06:00","0","0"
"76","2024-06-30 15:06:00","0","0"
"77","2024-06-30 15:06:00","0","0"
"78","2024-06-30 15:06:00","0","0"
"79","2024-06-30 15:06:00","0","0"
"80","2024-06-30 15:06:00","0","0"
"83","2024-06-30 15:06:00","0","0"
"87","2024-06-30 15:06:00","0","0"
"88","2024-06-30 15:06:00","0","0"
"89","2024-06-30 15:06:00","0","0"
"92","2024-06-30 15:06:00","0","0"
"96","2024-06-30 15:06:00","0","0"
"103","2024-06-30 15:06:00","0","0"
"104","2024-06-30 15:06:00","0","0"
"105","2024-06-30 15:06:00","0","0"
"107","2024-06-30 15:06:00","0","0"
"3","2024-04-30 13:19:10","0","0"
"6","2024-04-30 13:19:10","0","0"
"15","2024-04-30 13:19:11","0","0"
"16","2024-04-30 13:19:11","0","0"
"18","2024-04-30 13:19:11","0","0"
"28","2024-04-30 13:19:11","0","0"
"31","2024-04-30 13:19:11","0","0"
"32","2024-04-30 13:19:12","0","0"
"33","2024-04-30 13:19:12","0","0"
"36","2024-04-30 13:19:12","0","0"
"39","2024-04-30 13:19:12","0","0"
"42","2024-04-30 13:19:13","0","0"
"45","2024-04-30 13:19:13","0","0"
"47","2024-04-30 13:19:13","0","0"
"55","2024-04-30 13:19:13","0","0"
"56","2024-04-30 13:19:14","0","0"
"57","2024-04-30 13:19:14","0","0"
"61","2024-04-30 13:19:14","0","0"
"64","2024-04-30 13:19:14","0","0"
"69","2024-04-30 13:19:14","0","0"
"71","2024-04-30 13:19:15","0","0"
"72","2024-04-30 13:19:15","0","0"
"73","2024-04-30 13:19:15","0","0"
"74","2024-04-30 13:19:15","0","0"
"75","2024-04-30 13:19:15","0","0"
"76","2024-04-30 13:19:16","0","0"
"77","2024-04-30 13:19:16","0","0"
"78","2024-04-30 13:19:16","0","0"
"79","2024-04-30 13:19:16","0","0"
"80","2024-04-30 13:19:16","0","0"
"83","2024-04-30 13:19:16","0","0"
"87","2024-04-30 13:19:17","0","0"
"88","2024-04-30 13:19:17","0","0"
"89","2024-04-30 13:19:17","0","0"
"92","2024-04-30 13:19:17","0","0"
"96","2024-04-30 13:19:17","0","0"
"103","2024-04-30 13:19:18","0","0"
"104","2024-04-30 13:19:18","0","0"
"105","2024-04-30 13:19:18","0","0"
"107","2024-04-30 13:19:18","0","0"
